Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
v10.vortex-win.data.microsoft.com,176,0,711,114663,711.0,114663.0
mail.40.147.informz.net,4,0,0,0,0.0,0.0
avahost.net.108.249.216.in-addr.arpa,4,0,0,0,0.0,0.0
dauth-lp1.ndas.srv.nintendo.net,3,0,51,4116,51.0,4116.0
azwus2-client-s.gateway.messenger.live.com,19,0,1834,204518,1834.0,204518.0
151.211.230.121.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,835,0,0,0,0.0,0.0
250.208.254.173.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,966,0,0,0,0.0,0.0
membership-consultants.com,4,0,0,0,0.0,0.0
wirelessdevicestats.googleapis.com,70,0,6557,495995,6557.0,495995.0
ss-prod-ew1-notif-4.aws.adobess.com,135,0,2142,172683,2142.0,172683.0
a27-16.smtp-out.us-west-2.amazonses.com,8,0,36,3130,36.0,3130.0
v10.events.data.microsoft.com,335,0,6376,1241769,6376.0,1241769.0
societyofauthors.org,4,0,0,0,0.0,0.0
duplicatephotosremove.com,270,0,0,0,0.0,0.0
mtaip171.nj3.bulletinhealthcare.com,5,0,32,2783,32.0,2783.0
42.21.99.114.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,1098,0,0,0,0.0,0.0
android.prod.cloud.netflix.com,5,0,172,14478,172.0,14478.0
2.datadog.pool.ntp.org,178,0,0,0,0.0,0.0
3.datadog.pool.ntp.org,149,0,0,0,0.0,0.0
saharaurgentcare.com,153,0,0,0,0.0,0.0
teams.events.data.microsoft.com,35,0,796,111931,796.0,111931.0
acpe.bulletinhealthcare.com,2,0,0,0,0.0,0.0
142.97.254.197.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,2,0,0,0,0.0,0.0
81.2.40.77.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,237,0,0,0,0.0,0.0
o640.links.message.headspace.com,1,0,120,10981,120.0,10981.0
emailbedbathandbeyond.com,396,0,0,0,0.0,0.0
mail.43.34.informz.net,43,0,1001,89071,1001.0,89071.0
138.159.82.183.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,6,0,0,0,0.0,0.0
mail.40.108.informz.net,6,0,0,0,0.0,0.0
alt3.gmail-smtp-in.l.google.com,115,0,6219,499409,6219.0,499409.0
mta.news.food.jumia.com,8,0,0,0,0.0,0.0
1.datadog.pool.ntp.org,161,0,0,0,0.0,0.0
141.79.4.114.4vw5piqz5ksoolyszwje5tobsi.zen.dq.spamhaus.net,2,0,0,0,0.0,0.0
59.2.40.77.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,187,0,0,0,0.0,0.0
updates.paloaltonetworks.com,185,0,4063,329050,4063.0,329050.0
nrdp.prod.ftl.netflix.com,873,0,4639,379906,4639.0,379906.0
a27-222.smtp-out.us-west-2.amazonses.com,4,0,0,0,0.0,0.0
o17.ck.n.convertkit.com,23,0,120,10171,120.0,10171.0
mail7729.bitsandpieces.com.mkt8328.com,2,0,0,0,0.0,0.0
smtp-soi-g17-149.aweber.com,5,0,0,0,0.0,0.0
freemx2.sinamail.sina.com.cn,23,0,120,7717,120.0,7717.0
sonic306-1.consmr.mail.bf2.yahoo.com,12,0,19,1584,19.0,1584.0
mx2.a.mail.umich.edu,16,0,277,22933,277.0,22933.0
hdredirect-lb5-1afb6e2973825a56.elb.us-east-1.amazonaws.com,352,0,0,0,0.0,0.0
mx-matchesfashion-a.sailthru.com,13,0,267,24560,267.0,24560.0
hrexchangenetwork.com,4,0,0,0,0.0,0.0
mta.email-scrubsandbeyond.com,6,0,56,5044,56.0,5044.0
parkmobileglobal.com,8,0,0,0,0.0,0.0
mx1.a.mail.umich.edu,16,0,284,23341,284.0,23341.0
silverpointcapital.com,30,0,0,0,0.0,0.0
static-asm-skype.trafficmanager.net,64,0,738,59911,738.0,59911.0
HDRedirect-LB5-1afb6e2973825a56.elb.us-east-1.amazonaws.com,125,0,0,0,0.0,0.0
61.80.98.141.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,4018,0,0,0,0.0,0.0
email-scrubsandbeyond.com,2,0,0,0,0.0,0.0
remotedesktop-pa.googleapis.com,61,0,2153,293390,2153.0,293390.0
mail.40.48.informz.net,9,0,318,28909,318.0,28909.0
recoverycentersamerica.com,2,0,0,0,0.0,0.0
goldsheepclothing.com,2,0,0,0,0.0,0.0
harryanddavid-email.com,70,0,0,0,0.0,0.0
pl-pt04-1-parentlink-net-elb-1403580798.us-west-2.elb.amazonaws.com,7,0,0,0,0.0,0.0
hotmail-com.olc.protection.outlook.com,368,0,7081,546605,7081.0,546605.0
ss-prod-ue1-notif-45.aws.adobess.com,179,0,2150,171523,2150.0,171523.0
browser.pipe.aria.microsoft.com,63,0,1535,241524,1535.0,241524.0
PDOM07.pu.win.princeton.edu,1307,0,0,0,0.0,0.0
e2.bathandbodyworks.com,38,0,0,0,0.0,0.0
ss-prod-ue1-notif-17.aws.adobess.com,120,0,2155,172758,2155.0,172758.0
evercore-com.mail.protection.outlook.com,2,0,25,1859,25.0,1859.0
119.204.169.60.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,3563,0,0,0,0.0,0.0
a27-14.smtp-out.us-west-2.amazonses.com,11,0,35,3064,35.0,3064.0
ntd-asus-2014b-en.fbs20.trendmicro.com,12,0,181,13932,181.0,13932.0
c144.criticalimpactinc.com,16,0,83,7056,83.0,7056.0
rasmussenreports.com,9,0,0,0,0.0,0.0
mail-eopbgr60072.outbound.protection.outlook.com,7,0,76,6875,76.0,6875.0
researchgatemail.net,342,0,0,0,0.0,0.0
bounce.s10.mc.pd25.com,284,0,0,0,0.0,0.0
a-ess-cssb251063.senate.gov,1,0,0,0,0.0,0.0
