Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
SPU.EDU,1,0,0,0,0.0,0.0
SMCCD.NET,2,0,0,0,0.0,0.0
HPUTX.EDU,2,0,0,0,0.0,0.0
EWU.EDU,4,0,0,0,0.0,0.0
CTSNET.EDU,2,0,0,0,0.0,0.0
U.LIBRARY.ARIZONA.EDU,6,0,0,0,0.0,0.0
MSMC.EDU,53,0,0,0,0.0,0.0
SEU.EDU,2,0,0,0,0.0,0.0
LMU.EDU,10,0,0,0,0.0,0.0
UMN.EDU,12,0,0,0,0.0,0.0
UMD.EDU,13,0,0,0,0.0,0.0
OREGONSTATE.EDU,9,0,0,0,0.0,0.0
REGENT.EDU,3,0,0,0,0.0,0.0
ERAU.EDU,5,0,0,0,0.0,0.0
SYR.EDU,13,0,0,0,0.0,0.0
MCLA.EDU,5,0,0,0,0.0,0.0
LIBRARY.WISC.EDU,1,0,0,0,0.0,0.0
GEORGETOWN.EDU,12,0,0,0,0.0,0.0
CTS.EDU,2,0,0,0,0.0,0.0
FRANCIS.EDU,4,0,0,0,0.0,0.0
MORRISVILLE.EDU,2,0,0,0,0.0,0.0
USM.EDU,5,0,0,0,0.0,0.0
BGSU.EDU,7,0,0,0,0.0,0.0
CMICH.EDU,10,0,0,0,0.0,0.0
GGC.EDU,8,0,0,0,0.0,0.0
LINCOLN.AC.NZ,2,0,0,0,0.0,0.0
ECKERD.EDU,4,0,0,0,0.0,0.0
UMKC.EDU,2,0,0,0,0.0,0.0
ALBANY.EDU,2,0,0,0,0.0,0.0
USI.EDU,5,0,0,0,0.0,0.0
INDWES.EDU,2,0,0,0,0.0,0.0
ANYWAYYOUWRAPIT.COM,1,0,0,0,0.0,0.0
DOC-6RQKRQ2.princeton.edu,1,0,0,0,0.0,0.0
TOWSON.EDU,3,0,0,0,0.0,0.0
NEWSCHOOL.EDU,6,0,0,0,0.0,0.0
UBALT.EDU,2,0,0,0,0.0,0.0
FORTLEWIS.EDU,2,0,0,0,0.0,0.0
UNCG.EDU,6,0,0,0,0.0,0.0
MASSASOIT.MASS.EDU,2,0,0,0,0.0,0.0
MAINE.EDU,6,0,0,0,0.0,0.0
QUINNIPIAC.EDU,2,0,0,0,0.0,0.0
QU.EDU,2,0,0,0,0.0,0.0
UNCC.EDU,17,0,0,0,0.0,0.0
EASTERNCT.EDU,2,0,0,0,0.0,0.0
OAKLAND.EDU,4,0,0,0,0.0,0.0
OSU.EDU,4,0,0,0,0.0,0.0
PSU.EDU,28,0,0,0,0.0,0.0
BOISESTATE.EDU,9,0,0,0,0.0,0.0
LAW.EDU,2,0,0,0,0.0,0.0
ALLEGHENY.EDU,3,0,0,0,0.0,0.0
MOHAWKCOLLEGE.CA,23,0,0,0,0.0,0.0
CSUSM.EDU,3,0,0,0,0.0,0.0
FAU.EDU,7,0,0,0,0.0,0.0
SONOMA.EDU,4,0,0,0,0.0,0.0
CSUDH.EDU,2,0,0,0,0.0,0.0
LAW.UPENN.EDU,2,0,0,0,0.0,0.0
BC.EDU,13,0,0,0,0.0,0.0
BSU.EDU,2,0,0,0,0.0,0.0
KU.EDU,14,0,0,0,0.0,0.0
VUW.AC.NZ,5,0,0,0,0.0,0.0
UTC.EDU,13,0,0,0,0.0,0.0
ONTARIOLEARN.DESIRE2LEARN.COM,10,0,0,0,0.0,0.0
LAW.WNE.EDU,1,0,0,0,0.0,0.0
MAILBOX.SC.EDU,12,0,0,0,0.0,0.0
UFL.EDU,9,0,0,0,0.0,0.0
AHML.INFO,4,0,0,0,0.0,0.0
TARLETON.EDU,7,0,0,0,0.0,0.0
TCNJ.EDU,9,0,0,0,0.0,0.0
CARLETON.EDU,7,0,0,0,0.0,0.0
MORGAN.EDU,1,0,0,0,0.0,0.0
CAMPBELL.EDU,4,0,0,0,0.0,0.0
HUMBOLDT.EDU,13,0,0,0,0.0,0.0
SACLAW.ORG,2,0,0,0,0.0,0.0
CONFEDERATIONC.ON.CA,6,0,0,0,0.0,0.0
UCHICAGO.EDU,12,0,0,0,0.0,0.0
PROVIDENCE.EDU,11,0,0,0,0.0,0.0
EMBANET.COM,2,0,0,0,0.0,0.0
CNU.EDU,6,0,0,0,0.0,0.0
LCLARK.EDU,3,0,0,0,0.0,0.0
FGCU.EDU,12,0,0,0,0.0,0.0
CONCORDIA.CA,6,0,0,0,0.0,0.0
ROC-3YNF9Y2.princeton.edu,1,0,0,0,0.0,0.0
WELLINGTONCDSB.CA,1,0,0,0,0.0,0.0
DCCCD.EDU,7,0,0,0,0.0,0.0
MTHOLYOKE.EDU,13,0,0,0,0.0,0.0
WSU.EDU,7,0,0,0,0.0,0.0
SDSU.EDU,6,0,0,0,0.0,0.0
CCNY.CUNY.EDU,4,0,0,0,0.0,0.0
EMICH.EDU,2,0,0,0,0.0,0.0
SEN.CX,1,0,0,0,0.0,0.0
LORAS.EDU,2,0,0,0,0.0,0.0
PURDUE.EDU,4,0,0,0,0.0,0.0
